quotes
    "Manzilan hamesha un ko milti han jo manziloon ko talash karty han."
    "Sabab talash karo apny har jany ka kise ki geet per roony se kuch nahi hota."
    "hum ko mita saky yeh zamany may dum nahi hum se zamana khud hy zamany se hum nahi."
    "Apny apko pahchano yeh khud ko tabdeel karo q k tum chanpion ho."
    "Sahi rasty per chalnah thura mushkil hy per us rasty per apko koi gira nahi sakta."
